match_id,p1_diffp,distance_run,p1_serve,p1_ace,p1_net_pt_won,p1_label
0,0,6,1,0,0,0
0,-1,5.253,1,0,0,1
0,0,13.8,1,0,0,0
0,-1,51.108,1,0,0,1
0,0,0.649,1,1,0,1
0,1,5.291,1,0,0,0
0,0,6.817,1,1,0,1
0,1,17.503,1,0,0,0
0,0,34.489,1,0,1,1
0,1,21.235,1,0,0,1
0,0,5.785,0,0,0,0
0,-1,19.744,0,0,0,1
0,0,26.013,0,0,0,1
0,1,10.667,0,0,0,0
0,0,3.399,0,0,0,0
0,-1,5.3,0,0,0,1
0,0,5.245,0,0,0,0
0,-1,15.194,0,0,0,0
0,0,0.899,1,1,0,1
0,1,18.088,1,0,0,1
0,2,7.288,1,0,0,0
0,1,42.166,1,0,0,1
0,2,3.782,1,0,0,1
0,0,12.601,0,0,0,0
0,-1,14.925,0,0,0,0
0,-2,0.903,0,0,0,0
0,-3,20.027,0,0,0,0
0,0,15.352,1,0,0,1
0,1,4.285,1,0,0,1
0,2,11.974,1,0,1,1
0,3,5.609,1,0,0,0
0,2,8.518,1,0,0,0
0,1,8.859,1,0,0,0
0,0,30.782,1,0,1,1
0,1,6.824,1,0,1,1
0,0,7.809,0,0,0,0
0,-1,29.094,0,0,0,1
0,0,6.815,0,0,0,0
0,-1,2.678,0,0,0,0
0,-2,5.043,0,0,0,0
0,0,34.233,1,0,0,1
0,1,9.872,1,0,0,1
0,2,6.277,1,0,0,1
0,3,18.076,1,0,0,0
0,2,31.727,1,0,0,1
0,0,5.879,0,0,0,0
0,-1,0.929,0,0,0,1
0,0,1.427,0,0,0,0
0,-1,17.838,0,0,0,1
0,0,61.781,0,0,0,1
0,1,29.677,0,0,0,1
0,0,3.341,1,0,0,1
0,1,5.528,1,0,0,0
0,0,4.227,1,0,0,1
0,1,11.654,1,0,0,0
0,0,11.34,1,0,1,1
0,1,9.299,1,0,0,0
0,0,31.428,1,0,0,1
0,1,16.514,1,0,0,0
0,0,21.882,1,0,0,0
0,-1,18.705,1,0,0,1
0,0,2.109,1,0,0,1
0,1,16.592,1,0,1,1
0,0,1.621,0,0,0,0
0,-1,0.896,0,0,0,0
0,-2,3.619,0,0,0,0
0,-3,9.33,0,0,0,0
0,0,0.827,1,1,0,1
0,1,2.754,1,0,0,1
0,2,3.314,1,0,0,0
0,1,35.48,1,0,0,0
0,0,0.824,1,1,0,1
0,1,11.674,1,0,0,0
0,0,7.494,1,0,0,0
0,-1,8.235,1,0,0,0
0,0,8.125,0,0,0,0
0,-1,9.712,0,0,0,0
0,-2,10.788,0,0,0,0
0,-3,33.044,0,0,0,0
0,0,54.924,1,0,0,0
0,-1,6.013,1,0,0,1
0,0,0.761,1,1,0,1
0,1,57.844,1,0,0,0
0,0,12.977,1,0,0,0
0,-1,9.419,1,0,0,1
0,0,14.306,1,0,0,1
0,1,46.74,1,0,0,1
0,0,31.199,0,0,0,0
0,-1,11.273,0,0,0,0
0,-2,22.467,0,0,0,1
0,-1,36.689,0,0,0,1
0,0,39.829,0,0,0,1
0,1,30.783,0,0,0,0
0,0,39.903,0,0,0,1
0,1,26.961,0,0,0,0
0,0,6.211,0,0,0,0
0,-1,20.629,0,0,0,0
0,0,6.367,1,0,0,0
0,-1,4.716,1,0,0,1
0,0,5.607,1,0,0,0
0,-1,2.576,1,0,0,1
0,0,12.352,1,0,0,1
0,1,29.38,1,0,0,0
0,0,7.675,1,0,1,1
0,1,0.75,1,0,0,1
0,0,17.854,0,0,0,1
0,1,17.377,0,0,0,0
0,0,14.452,0,0,0,0
0,-1,13.127,0,0,0,0
0,-2,40.298,0,0,0,1
0,-1,50.075,0,0,0,1
0,0,33.142,0,0,0,1
0,1,11.436,0,0,0,0
0,0,32.537,0,0,0,0
0,-1,15.161,0,0,0,1
0,0,26.033,0,0,0,1
0,1,9.834,0,0,0,1
0,0,2.388,1,0,0,1
0,1,3.157,1,0,0,1
0,2,9.182,1,0,0,1
0,3,9.346,1,0,0,1
0,0,8.636,0,0,0,1
0,1,1.547,0,0,0,0
0,0,4.077,0,0,0,0
0,-1,7.731,0,0,0,0
0,-2,30.357,0,0,0,0
0,0,5.517,1,0,0,1
0,1,18.229,1,0,0,0
0,0,2.83,1,0,0,1
0,1,32.24,1,0,0,1
0,2,9.467,1,0,0,0
0,1,18.941,1,0,0,1
0,0,1.087,0,0,0,0
0,-1,7.276,0,0,0,0
0,-2,10.946,0,0,0,1
0,-1,28.855,0,0,0,0
0,-2,4.713,0,0,0,0
0,0,7.323,1,1,0,1
0,1,1.865,1,0,0,1
0,2,1.945,1,0,0,1
0,3,18.845,1,0,0,1
0,0,68.799,0,0,0,0
0,-1,5.871,1,0,0,1
0,0,51.185,1,0,0,1
0,1,9.273,0,0,0,0
0,0,4.948,0,0,0,0
0,-1,24.001,1,0,1,1
0,0,4.91,1,0,0,1
0,1,10.121,0,0,0,0
0,0,12.105,0,0,0,0
0,-1,19.083,1,0,0,1
0,0,4.877,1,0,1,1
0,1,20.076,0,0,0,0
0,0,5.514,0,0,0,0
0,-1,28.777,1,0,0,0
0,0,26.561,1,0,0,1
0,1,17.347,1,0,0,0
0,0,3.959,1,0,0,1
0,1,5.45,1,0,0,0
0,0,4.131,1,0,0,1
0,1,6.968,1,0,0,1
0,0,33.675,0,0,1,1
0,1,9.172,0,0,0,0
0,0,52.816,0,0,0,0
0,-1,9.47,0,0,0,1
0,0,17.922,0,0,0,1
0,1,11.452,0,0,0,0
0,0,8.123,0,0,0,1
0,1,27.335,0,0,0,0
0,0,10.23,0,0,0,0
0,-1,11.861,0,0,0,1
0,0,6.797,0,0,0,0
0,-1,16.698,0,0,0,0
0,0,22.725,1,0,0,1
0,1,10.8,1,0,0,1
0,2,28.877,1,0,0,0
0,1,16.725,1,0,0,0
0,0,11.081,1,0,0,1
0,1,7.905,1,1,0,1
0,0,9.981,0,0,0,1
0,1,27.698,0,0,0,1
0,2,20.258,0,0,0,0
0,1,12.132,0,0,0,1
0,2,25.215,0,0,0,1
0,0,0.585,1,1,0,1
0,1,1.91,1,0,0,1
0,2,26.138,1,0,0,1
0,3,1.076,1,0,0,0
0,2,0.778,1,1,0,1
0,0,17.965,0,0,0,1
0,1,1.075,0,0,0,0
0,0,4.072,0,0,0,0
0,-1,15.125,0,0,1,1
0,0,8.346,0,0,0,0
0,-1,11.882,0,0,0,0
0,0,3.652,1,0,0,1
0,1,13.487,1,0,0,1
0,2,14.958,1,0,0,1
0,3,0.778,1,1,0,1
