match_id,point_diff,distance_run,win_streak,unf_err,serve,ace,elapsed_time,net_pt_won,last_round_rally_cnt,double_fault,break_pt_missed,distance_lag1,distance_lag2,rally_cnt_lag1,rally_cnt_lag2,label
0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,-1,5.253,0,0,1,0,38,0,2,0,0,6,0,0,0,1
0,0,13.8,1,1,1,0,23,0,1,0,0,5.253,6,2,0,0
0,-1,51.108,0,0,1,0,30,0,4,0,0,13.8,5.253,1,2,1
0,0,0.649,1,0,1,1,50,0,13,0,0,51.108,13.8,4,1,1
0,1,5.291,2,0,1,0,29,0,1,0,0,0.649,51.108,13,4,0
0,0,6.817,0,0,1,1,43,0,2,0,0,5.291,0.649,1,13,1
0,1,17.503,1,0,1,0,28,0,1,0,0,6.817,5.291,2,1,0
0,0,34.489,0,0,1,0,47,1,6,0,0,17.503,6.817,1,2,1
0,1,21.235,1,0,1,0,44,0,7,0,0,34.489,17.503,6,1,1
0,0,5.785,0,0,0,0,93,0,5,0,0,21.235,34.489,7,6,0
0,-1,19.744,0,0,0,0,23,0,1,0,0,5.785,21.235,5,7,1
0,0,26.013,1,0,0,0,38,0,4,0,0,19.744,5.785,1,5,1
0,1,10.667,2,0,0,0,35,0,4,0,0,26.013,19.744,4,1,0
0,0,3.399,0,0,0,0,30,0,3,0,0,10.667,26.013,4,4,0
0,-1,5.3,0,0,0,0,26,0,1,0,0,3.399,10.667,3,4,1
0,0,5.245,1,0,0,0,43,0,2,0,0,5.3,3.399,1,3,0
0,-1,15.194,0,0,0,0,25,0,1,0,0,5.245,5.3,2,1,0
0,0,0.899,0,0,1,1,39,0,3,0,0,15.194,5.245,1,2,1
0,1,18.088,1,0,1,0,23,0,1,0,0,0.899,15.194,3,1,1
0,2,7.288,2,0,1,0,30,0,5,0,0,18.088,0.899,1,3,0
0,1,42.166,0,0,1,0,27,0,2,0,0,7.288,18.088,5,1,1
0,2,3.782,1,0,1,0,42,0,9,0,0,42.166,7.288,2,5,1
0,0,12.601,0,1,0,0,125,0,1,0,0,3.782,42.166,9,2,0
0,-1,14.925,0,0,0,0,44,0,3,0,0,12.601,3.782,1,9,0
0,-2,0.903,0,0,0,0,32,0,3,0,0,14.925,12.601,3,1,0
0,-3,20.027,0,0,0,0,21,0,1,0,0,0.903,14.925,3,3,0
0,0,15.352,0,0,1,0,41,0,3,0,0,20.027,0.903,1,3,1
0,1,4.285,1,0,1,0,36,0,5,0,0,15.352,20.027,3,1,1
0,2,11.974,2,0,1,0,25,1,1,0,0,4.285,15.352,5,3,1
0,3,5.609,3,1,1,0,30,0,3,0,0,11.974,4.285,1,5,0
0,2,8.518,0,0,1,0,43,0,2,0,0,5.609,11.974,3,1,0
0,1,8.859,0,1,1,0,52,0,2,0,0,8.518,5.609,2,3,0
0,0,30.782,0,0,1,0,32,1,2,0,0,8.859,8.518,2,2,1
0,1,6.824,1,0,1,0,52,1,5,0,0,30.782,8.859,2,2,1
0,0,7.809,0,0,0,0,123,0,1,0,0,6.824,30.782,5,2,0
0,-1,29.094,0,0,0,0,31,0,1,0,0,7.809,6.824,1,5,1
0,0,6.815,1,0,0,0,72,0,6,0,0,29.094,7.809,1,1,0
0,-1,2.678,0,0,0,0,25,0,1,0,0,6.815,29.094,6,1,0
0,-2,5.043,0,0,0,0,26,0,1,0,0,2.678,6.815,1,6,0
0,0,34.233,0,0,1,0,46,0,1,0,0,5.043,2.678,1,1,1
0,1,9.872,1,0,1,0,55,0,9,0,0,34.233,5.043,1,1,1
0,2,6.277,2,0,1,0,29,0,3,0,0,9.872,34.233,9,1,1
0,3,18.076,3,0,1,0,26,0,3,0,0,6.277,9.872,3,9,0
0,2,31.727,0,0,1,0,45,0,6,0,0,18.076,6.277,3,3,1
0,0,5.879,0,0,0,0,137,0,5,0,0,31.727,18.076,6,3,0
0,-1,0.929,0,0,0,0,23,0,1,0,0,5.879,31.727,5,6,1
0,0,1.427,1,0,0,0,36,0,0,0,0,0.929,5.879,1,5,0
0,-1,17.838,0,0,0,0,25,0,1,0,0,1.427,0.929,0,1,1
0,0,61.781,1,0,0,0,48,0,6,0,0,17.838,1.427,1,0,1
0,1,29.677,2,0,0,0,76,0,16,0,0,61.781,17.838,6,1,1
0,0,3.341,0,0,1,0,76,0,6,0,0,29.677,61.781,16,6,1
0,1,5.528,1,0,1,0,26,0,1,0,0,3.341,29.677,6,16,0
0,0,4.227,0,0,1,0,42,0,2,0,0,5.528,3.341,1,6,1
0,1,11.654,1,0,1,0,28,0,1,0,0,4.227,5.528,2,1,0
0,0,11.34,0,0,1,0,35,1,4,0,0,11.654,4.227,1,2,1
0,1,9.299,1,1,1,0,32,0,3,0,0,11.34,11.654,4,1,0
0,0,31.428,0,0,1,0,32,0,2,0,0,9.299,11.34,3,4,1
0,1,16.514,1,0,1,0,50,0,7,0,0,31.428,9.299,2,3,0
0,0,21.882,0,0,1,0,68,0,4,0,0,16.514,31.428,7,2,0
0,-1,18.705,0,0,1,0,47,0,6,0,0,21.882,16.514,4,7,1
0,0,2.109,0,0,1,0,41,0,7,0,0,18.705,21.882,6,4,1
0,1,16.592,1,0,1,0,30,1,1,0,0,2.109,18.705,7,6,1
0,0,1.621,0,0,0,0,155,0,3,0,0,16.592,2.109,1,7,0
0,-1,0.896,0,0,0,0,23,0,1,0,0,1.621,16.592,3,1,0
