match_id,point_diff,distance_run,win_streak,unf_err,serve,ace,elapsed_time,last_round_rally_cnt,net_pt_won,double_fault,break_pt_missed,distance_lag1,distance_lag2,rally_cnt_lag1,rally_cnt_lag2,label
0,1,36.262,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,2,17.388,1,0,1,0,26,7,0,0,0,36.262,0,0,0,1
0,3,30.731,2,0,1,0,31,1,0,0,0,17.388,36.262,7,0,1
0,0,12.268,0,0,1,0,40,5,0,0,0,30.731,17.388,1,7,1
0,-1,22.199,0,0,0,0,59,1,0,0,0,12.268,30.731,5,1,0
0,-2,32.436,0,0,0,0,26,1,0,0,0,22.199,12.268,1,5,0
0,-1,15.083,1,0,0,0,23,5,0,0,0,32.436,22.199,1,1,1
0,0,39.292,2,0,0,0,27,0,0,0,0,15.083,32.436,5,1,1
0,1,58.854,3,0,0,0,50,10,0,0,0,39.292,15.083,0,5,1
0,0,32.317,0,0,0,0,82,12,0,0,1,58.854,39.292,10,0,0
0,-1,25.872,0,1,0,0,44,5,0,0,0,32.317,58.854,12,10,0
0,0,33.083,0,0,0,0,44,3,0,0,0,25.872,32.317,5,12,0
0,1,12.013,1,0,1,0,35,5,0,0,0,33.083,25.872,3,5,1
0,0,14.815,0,1,1,0,27,1,1,0,0,12.013,33.083,5,3,0
0,-1,13.792,0,1,1,0,30,2,0,1,0,14.815,12.013,1,5,0
0,-2,32.372,0,0,1,0,35,0,0,0,0,13.792,14.815,2,1,0
0,-1,13.872,1,0,1,0,35,6,1,0,0,32.372,13.792,0,2,1
0,0,24.158,0,1,1,0,25,3,0,0,0,13.872,32.372,6,0,0
0,-1,21.758,0,0,0,0,113,4,0,0,0,24.158,13.872,3,6,0
0,-2,20.365,0,0,0,0,18,1,0,0,0,21.758,24.158,4,3,0
0,-1,15.892,1,0,0,0,39,1,0,0,0,20.365,21.758,1,4,1
0,-2,16.113,0,0,0,0,30,0,0,0,0,15.892,20.365,1,1,0
0,0,36.382,0,1,0,0,24,1,0,0,0,16.113,15.892,0,1,0
0,-1,14.834,0,1,1,0,47,5,0,0,0,36.382,16.113,1,0,0
0,0,34.471,1,0,1,0,31,2,0,0,0,14.834,36.382,5,1,1
0,1,11.746,2,0,1,1,42,7,0,0,0,34.471,14.834,2,5,1
0,2,12.453,3,0,1,0,15,1,0,0,0,11.746,34.471,7,2,1
0,0,0,0,0,1,1,14,1,0,0,0,12.453,11.746,1,7,1
0,1,15.786,1,0,0,0,108,1,0,0,0,0,12.453,1,1,1
0,0,20.861,0,0,0,0,39,0,0,0,0,15.786,0,1,1,0
0,1,30.615,1,0,0,0,20,1,0,0,0,20.861,15.786,0,1,1
0,2,53.317,2,0,0,0,27,4,0,0,0,30.615,20.861,1,0,1
0,1,23.72,0,0,0,0,40,8,0,0,1,53.317,30.615,4,1,0
0,0,37.915,0,1,0,0,27,3,0,0,1,23.72,53.317,8,4,0
0,-1,17.692,0,0,0,0,35,7,0,0,0,37.915,23.72,3,8,0
0,0,27.685,0,0,0,0,23,1,0,0,0,17.692,37.915,7,3,0
0,1,11.509,1,0,1,1,31,3,0,0,0,27.685,17.692,1,7,1
0,2,20.144,2,0,1,0,21,1,0,0,0,11.509,27.685,3,1,1
0,3,17.549,3,0,1,0,29,3,0,0,0,20.144,11.509,1,3,1
0,2,18.122,0,1,1,0,16,1,1,0,0,17.549,20.144,3,1,0
0,0,16.557,0,0,1,0,22,2,0,0,0,18.122,17.549,1,3,1
0,1,23.853,1,0,0,0,104,1,0,0,0,16.557,18.122,2,1,1
0,2,19.364,2,0,0,0,25,2,0,0,0,23.853,16.557,1,2,1
0,3,25.485,3,0,0,0,40,2,0,0,0,19.364,23.853,2,1,1
0,2,20.62,0,0,0,0,34,2,0,0,1,25.485,19.364,2,2,0
0,1,18.05,0,1,0,0,19,1,0,0,1,20.62,25.485,2,2,0
0,0,15.958,0,0,0,0,42,1,0,0,1,18.05,20.62,1,2,0
0,1,76.217,1,0,0,0,36,1,0,0,0,15.958,18.05,1,1,1
0,0,15.992,0,0,0,0,70,18,0,0,1,76.217,15.958,1,1,0
0,-1,16.291,0,0,0,0,39,1,0,0,0,15.992,76.217,18,1,0
0,0,24.401,0,0,0,0,19,1,0,0,0,16.291,15.992,1,18,0
0,1,12.075,1,0,1,0,30,3,0,0,0,24.401,16.291,1,1,1
0,2,13.978,2,0,1,0,14,1,1,0,0,12.075,24.401,3,1,1
0,3,11.64,3,0,1,1,23,3,0,0,0,13.978,12.075,1,3,1
0,0,11.299,0,0,1,1,16,1,0,0,0,11.64,13.978,3,1,1
0,-1,41.983,0,0,0,0,109,1,1,0,0,11.299,11.64,1,3,0
0,0,22.14,1,0,0,0,51,11,0,0,0,41.983,11.299,1,1,1
0,-1,22.55,0,0,0,0,37,2,0,0,0,22.14,41.983,11,1,0
0,-2,30.287,0,0,0,0,21,1,0,0,0,22.55,22.14,2,11,0
0,0,28.53,0,0,0,0,40,3,0,0,0,30.287,22.55,1,2,0
0,1,13.46,1,0,1,0,163,1,0,0,0,28.53,30.287,3,1,1
0,0,26.766,0,1,1,0,18,1,0,0,0,13.46,28.53,1,3,0
0,1,16.466,1,0,1,0,44,4,1,0,0,26.766,13.46,1,1,1
0,2,11.874,2,0,1,1,24,3,0,0,0,16.466,26.766,4,1,1
0,0,30.631,0,0,1,0,18,1,1,0,0,11.874,16.466,3,4,1
0,1,31.5,1,0,0,0,67,7,0,0,0,30.631,11.874,1,3,1
0,0,50.954,0,1,0,0,41,6,0,0,0,31.5,30.631,7,1,0
0,-1,24.531,0,1,0,0,42,11,0,0,0,50.954,31.5,6,7,0
0,0,25.08,1,0,0,0,38,3,0,0,0,24.531,50.954,11,6,1
0,1,32.668,2,0,0,0,42,4,0,0,0,25.08,24.531,3,11,1
0,0,21.046,0,0,0,0,36,6,0,0,0,32.668,25.08,4,3,1
0,1,0,1,0,1,1,39,0,0,0,0,21.046,32.668,6,4,1
0,2,11.567,2,0,1,1,17,1,0,0,0,0,21.046,0,6,1
0,3,17.478,3,0,1,0,15,1,0,0,0,11.567,0,1,0,1
0,0,14.178,0,0,1,0,27,1,1,0,0,17.478,11.567,1,1,1
0,1,21.58,1,0,0,0,112,3,0,0,0,14.178,17.478,1,1,1
0,0,20.472,0,0,0,0,28,2,0,0,0,21.58,14.178,3,1,0
0,1,24.114,1,0,0,0,32,3,0,0,0,20.472,21.58,2,3,1
0,0,23.575,0,0,0,0,50,6,0,0,0,24.114,20.472,3,2,0
0,-1,4.674,0,0,0,0,40,3,0,0,0,23.575,24.114,6,3,0
0,0,59.768,0,0,0,0,18,1,0,0,0,4.674,23.575,3,6,0
0,1,15.239,1,0,1,0,39,5,1,0,0,59.768,4.674,1,3,1
0,2,23.471,2,0,1,0,21,3,0,0,0,15.239,59.768,5,1,1
0,3,20.452,3,0,1,0,17,1,1,0,0,23.471,15.239,3,5,1
0,0,17.222,0,0,1,0,20,3,0,0,0,20.452,23.471,1,3,1
0,-1,20.33,0,0,0,0,126,3,0,0,0,17.222,20.452,3,1,0
0,0,59.242,1,0,0,0,19,1,0,0,0,20.33,17.222,3,3,1
0,-1,21.931,0,0,0,0,68,12,0,0,0,59.242,20.33,1,3,0
0,0,17.335,1,0,0,0,27,3,0,0,0,21.931,59.242,12,1,1
0,-1,16.206,0,0,0,0,33,0,0,0,0,17.335,21.931,3,12,0
0,0,34.4,1,0,0,0,15,1,1,0,0,16.206,17.335,0,3,1
0,1,31.237,2,0,0,0,47,8,0,0,0,34.4,16.206,1,0,1
0,0,31.963,0,0,0,0,27,4,0,0,0,31.237,34.4,8,1,1
0,1,12.985,1,0,1,0,57,4,1,0,0,31.963,31.237,4,8,1
0,0,49.773,0,1,1,0,16,1,0,0,0,12.985,31.963,4,4,0
0,1,11.683,1,0,1,0,37,12,0,0,0,49.773,12.985,1,4,1
0,0,28.854,0,0,1,0,15,1,0,0,0,11.683,49.773,12,1,0
0,1,11.917,1,0,1,1,39,6,0,0,0,28.854,11.683,1,12,1
0,0,11.475,0,0,1,1,16,1,0,0,0,11.917,28.854,6,1,1
0,1,48.843,1,0,0,0,286,1,0,0,0,11.475,11.917,1,6,1
0,2,38.586,2,0,0,0,18,2,0,0,0,48.843,11.475,1,1,1
0,1,55.551,0,1,0,0,40,6,0,0,0,38.586,48.843,2,1,0
0,0,15.558,0,0,0,0,65,13,0,0,0,55.551,38.586,6,2,0
0,-1,39.608,0,0,0,0,19,1,0,0,0,15.558,55.551,13,6,0
0,0,32.525,0,1,0,0,25,5,0,0,0,39.608,15.558,1,13,0
0,1,12.231,1,0,1,0,67,5,0,0,0,32.525,39.608,5,1,1
0,2,17.153,2,0,1,0,19,1,0,0,0,12.231,32.525,5,5,1
0,3,0,3,0,1,1,18,1,0,0,0,17.153,12.231,1,5,1
0,0,12.24,0,0,1,1,16,1,0,0,0,0,17.153,1,1,1
0,-1,30.416,0,1,0,0,29,1,0,0,0,12.24,0,1,1,0
0,0,22.826,1,0,0,0,33,3,0,0,0,30.416,12.24,1,1,1
0,1,34.338,2,0,0,0,34,2,0,0,0,22.826,30.416,3,1,1
0,0,20.715,0,0,0,0,43,6,0,0,0,34.338,22.826,2,3,0
0,-1,14.755,0,1,0,0,26,1,0,0,0,20.715,34.338,6,2,0
0,0,22.622,1,0,0,0,25,1,0,0,0,14.755,20.715,1,6,1
0,1,54.635,2,0,0,0,38,2,0,0,0,22.622,14.755,1,1,1
0,0,46.04,0,0,0,0,53,12,0,0,0,54.635,22.622,2,1,1
0,1,13.355,1,0,1,0,116,4,1,0,0,46.04,54.635,12,2,1
0,2,12.085,2,0,1,1,23,3,0,0,0,13.355,46.04,4,12,1
0,3,16.016,3,0,1,0,14,1,0,0,0,12.085,13.355,3,4,1
0,0,19.977,0,0,1,0,16,1,0,0,0,16.016,12.085,1,3,1
0,-1,13.524,0,0,0,0,39,3,0,0,0,19.977,16.016,1,1,0
0,-2,19.326,0,0,0,0,25,1,0,0,0,13.524,19.977,3,1,0
0,-1,17.712,1,0,0,0,15,1,0,0,0,19.326,13.524,1,3,1
0,-2,23.062,0,1,0,0,27,0,0,0,0,17.712,19.326,1,1,0
0,0,18.562,0,0,0,0,34,3,0,0,0,23.062,17.712,0,1,0
0,1,17.187,1,0,1,0,93,1,1,0,0,18.562,23.062,3,0,1
0,2,24.834,2,0,1,0,34,3,0,0,0,17.187,18.562,1,3,1
0,3,13.587,3,0,1,0,36,5,1,0,0,24.834,17.187,3,1,1
0,0,11.683,0,0,1,1,19,3,0,0,0,13.587,24.834,5,3,1
0,-1,16.294,0,0,0,0,29,1,0,0,0,11.683,13.587,3,5,0
0,0,32.062,1,0,0,0,12,1,0,0,0,16.294,11.683,1,3,1
0,1,38.338,2,0,0,0,23,4,1,0,0,32.062,16.294,1,1,1
0,0,45.315,0,1,0,0,50,10,0,0,0,38.338,32.062,4,1,0
0,1,19.221,1,0,0,0,37,9,0,0,0,45.315,38.338,10,4,1
0,0,36.412,0,0,0,0,26,2,1,0,0,19.221,45.315,9,10,1
0,1,12.322,1,0,1,1,108,6,0,0,0,36.412,19.221,2,9,1
0,2,11.905,2,0,1,1,16,1,0,0,0,12.322,36.412,6,2,1
0,3,11.895,3,0,1,1,13,1,0,0,0,11.905,12.322,1,6,1
0,0,11.916,0,0,1,1,13,1,0,0,0,11.895,11.905,1,1,1
0,-1,16.498,0,0,0,0,140,1,0,0,0,11.916,11.895,1,1,0
0,0,25.155,1,0,0,0,13,1,0,0,0,16.498,11.916,1,1,1
0,-1,18.275,0,0,0,0,18,2,0,0,0,25.155,16.498,1,1,0
0,-2,21.416,0,0,0,0,27,1,0,0,0,18.275,25.155,2,1,0
0,0,19.568,0,1,0,0,33,1,0,0,0,21.416,18.275,1,2,0
0,1,19.335,1,0,1,0,61,3,0,0,0,19.568,21.416,1,1,1
0,2,11.835,2,0,1,0,20,3,0,0,0,19.335,19.568,3,1,1
0,3,12.051,3,0,1,1,19,1,0,0,0,11.835,19.335,3,3,1
0,0,11.587,0,0,1,1,18,1,0,0,0,12.051,11.835,1,3,1
0,1,27.751,1,0,0,0,85,1,1,0,0,11.587,12.051,1,1,1
0,0,18.456,0,0,0,0,39,6,0,0,0,27.751,11.587,1,1,0
0,-1,19.249,0,0,0,0,21,3,0,0,0,18.456,27.751,6,1,0
0,0,25.911,1,0,0,0,21,3,0,0,0,19.249,18.456,3,6,1
0,1,7.75,2,0,0,0,44,4,0,0,0,25.911,19.249,3,3,1
0,0,35.653,0,0,0,0,31,2,0,0,1,7.75,25.911,4,3,0
0,1,39.997,1,0,0,0,30,5,0,0,0,35.653,7.75,2,4,1
0,0,29.161,0,0,0,0,44,10,0,0,1,39.997,35.653,5,2,0
0,1,20.48,1,0,0,0,31,5,0,0,0,29.161,39.997,10,5,1
0,0,27.537,0,0,0,0,33,2,0,0,0,20.48,29.161,5,10,1
0,-1,22.563,0,1,1,0,101,2,0,0,0,27.537,20.48,2,5,0
0,0,15.907,1,0,1,0,34,2,1,0,0,22.563,27.537,2,2,1
0,1,22.137,2,0,1,0,24,3,0,0,0,15.907,22.563,2,2,1
0,0,62.838,0,0,1,0,34,3,0,0,0,22.137,15.907,3,2,0
0,1,17.859,1,0,1,0,45,12,0,0,0,62.838,22.137,3,3,1
0,0,21.492,0,0,1,0,21,1,1,0,0,17.859,62.838,12,3,1
0,1,30.872,1,0,0,0,30,5,0,0,0,21.492,17.859,1,12,1
0,0,30.003,0,1,0,0,21,4,1,0,0,30.872,21.492,5,1,0
0,1,43.534,1,0,0,0,44,5,0,0,0,30.003,30.872,4,5,1
0,0,22.644,0,0,0,0,33,8,0,0,0,43.534,30.003,5,4,0
0,1,40.825,1,0,0,0,23,1,0,0,0,22.644,43.534,8,5,1
0,0,50.584,0,0,0,0,39,8,0,0,0,40.825,22.644,1,8,1
0,-1,18.708,0,0,1,0,109,12,0,0,0,50.584,40.825,8,1,0
0,-2,27.277,0,0,1,0,49,2,0,0,0,18.708,50.584,12,8,0
0,-1,23.474,1,0,1,0,37,4,0,0,0,27.277,18.708,2,12,1
0,0,37.989,2,0,1,0,27,3,0,0,0,23.474,27.277,4,2,1
0,-1,29.271,0,1,1,0,29,7,0,0,0,37.989,23.474,3,4,0
0,0,15.198,1,0,1,0,37,6,0,0,0,29.271,37.989,7,3,1
0,1,12.05,2,0,1,1,19,1,0,0,0,15.198,29.271,6,7,1
0,0,11.446,0,0,1,1,16,1,0,0,0,12.05,15.198,1,6,1
0,-1,25.165,0,1,0,0,24,1,0,0,0,11.446,12.05,1,1,0
0,-2,18.539,0,0,0,0,33,3,0,0,0,25.165,11.446,1,1,0
0,-3,20.472,0,0,0,0,16,1,0,0,0,18.539,25.165,3,1,0
0,0,20.111,0,0,0,0,15,3,0,0,0,20.472,18.539,1,3,0
0,1,11.268,1,0,1,1,136,3,0,0,0,20.111,20.472,3,1,1
0,2,14.634,2,0,1,0,16,1,0,0,0,11.268,20.111,3,3,1
0,3,11.553,3,0,1,1,20,1,0,0,0,14.634,11.268,1,3,1
0,0,0,0,0,1,1,13,1,0,0,0,11.553,14.634,1,1,1
1,-1,15.022,0,0,0,0,0,1,0,0,0,0,11.553,1,1,0
1,-2,25.11,0,0,0,0,62,1,1,0,0,15.022,0,1,1,0
1,-3,18.328,0,0,0,0,20,3,0,0,0,25.11,15.022,1,1,0
1,0,18.491,0,0,0,0,18,1,0,0,0,18.328,25.11,3,1,0
1,1,15.518,1,0,1,0,55,1,0,0,0,18.491,18.328,1,3,1
1,2,17.625,2,0,1,0,21,1,0,0,0,15.518,18.491,1,1,1
1,1,25.537,0,1,1,0,19,1,0,0,0,17.625,15.518,1,1,0
1,2,27.262,1,0,1,0,26,2,0,0,0,25.537,17.625,1,1,1
1,0,18.902,0,0,1,0,23,3,0,0,0,27.262,25.537,2,1,1
1,-1,16.766,0,0,0,0,37,1,0,0,0,18.902,27.262,3,2,0
1,0,19.003,1,0,0,0,36,1,0,0,0,16.766,18.902,1,3,1
1,1,19.744,2,0,0,0,23,2,0,0,0,19.003,16.766,1,1,1
1,0,15.447,0,0,0,0,28,2,0,0,0,19.744,19.003,2,1,0
1,-1,30.818,0,0,0,0,24,1,0,0,0,15.447,19.744,2,2,0
1,0,21.254,0,0,0,0,26,3,0,0,0,30.818,15.447,1,2,0
1,1,11.696,1,0,1,0,90,1,0,0,0,21.254,30.818,3,1,1
1,2,21.68,2,0,1,0,21,1,0,0,0,11.696,21.254,1,3,1
1,3,35.169,3,0,1,0,32,1,0,0,0,21.68,11.696,1,1,1
1,0,14.878,0,0,1,0,34,3,0,0,0,35.169,21.68,1,1,1
1,-1,26.763,0,0,0,0,39,1,0,0,0,14.878,35.169,3,1,0
1,-2,25.258,0,0,0,0,23,1,0,0,0,26.763,14.878,1,3,0
1,-3,16.583,0,0,0,0,21,3,0,0,0,25.258,26.763,1,1,0
1,0,15.546,0,0,0,0,24,1,0,0,0,16.583,25.258,3,1,0
1,1,14.554,1,0,1,0,87,1,1,0,0,15.546,16.583,1,3,1
1,0,29.199,0,0,1,0,25,3,0,0,0,14.554,15.546,1,1,0
1,1,53.624,1,0,1,0,38,4,0,0,0,29.199,14.554,3,1,1
1,2,38.925,2,0,1,0,32,3,0,0,0,53.624,29.199,4,3,1
1,1,27.994,0,1,1,0,44,3,0,0,0,38.925,53.624,3,4,0
1,0,22.68,0,0,1,0,46,2,0,0,0,27.994,38.925,3,3,1
1,-1,16.486,0,0,0,0,54,1,0,0,0,22.68,27.994,2,3,0
1,-2,31.955,0,0,0,0,40,1,0,0,0,16.486,22.68,1,2,0
1,-1,23.548,1,0,0,0,25,3,0,0,0,31.955,16.486,1,1,1
1,-2,25.645,0,0,0,0,41,2,0,0,0,23.548,31.955,3,1,0
1,0,16.209,0,0,0,0,21,1,0,0,0,25.645,23.548,2,3,0
1,1,18.134,1,0,1,0,99,1,0,0,0,16.209,25.645,1,2,1
1,2,31.171,2,0,1,0,23,1,0,0,0,18.134,16.209,1,1,1
1,3,19.751,3,0,1,0,40,3,0,0,0,31.171,18.134,1,1,1
1,0,27.721,0,0,1,0,35,1,0,0,0,19.751,31.171,3,1,1
1,-1,15.748,0,0,0,0,52,3,0,0,0,27.721,19.751,1,3,0
1,-2,32.845,0,0,0,0,42,1,0,0,0,15.748,27.721,3,1,0
1,-3,30.017,0,0,0,0,23,3,0,0,0,32.845,15.748,1,3,0
1,-2,35.577,1,0,0,0,41,3,0,0,0,30.017,32.845,3,1,1
1,0,14.312,0,0,0,0,38,4,0,0,0,35.577,30.017,3,3,0
1,1,34.576,1,0,1,0,115,1,0,0,0,14.312,35.577,4,3,1
1,0,17.507,0,1,1,0,30,3,0,0,0,34.576,14.312,1,4,0
1,1,13.822,1,0,1,1,21,2,0,0,0,17.507,34.576,3,1,1
